no,word-talgalog,word meaning-english,scentence-tagalog,scentence-korean
151,panahong,"time, period","Sa panahong ito, kailangan nating magtipid.",이 시기에는 절약해야 합니다.
152,malapit,"near, close",Malapit na ang pasko.,크리스마스가 가까워졌습니다.
153,wika,language,Ang wika ay mahalaga sa komunikasyon.,언어는 의사소통에 중요합니다.
154,kanila,"their, them",Ang kanilang bahay ay malaki.,그들의 집은 큽니다.
155,kahit,"even if, although","Kahit mahirap, nagtiyaga siya.",비록 어렵지만 그는 인내했습니다.
156,Marso,March,Ang kaarawan niya ay sa Marso.,그녀의 생일은 3월에 있습니다.
157,silang,they (inclusive),Silang lahat ay masaya.,그들 모두 행복합니다.
158,ring,"also, too",Siya ring nagwagi noong nakaraan.,그는 지난번에도 우승했습니다.
159,pangkat,"group, team",Ang pangkat nila ay nanalo.,그들의 팀이 이겼습니다.
160,mayroon,"have, there is",Mayroong pagkain sa lamesa.,식탁에 음식이 있습니다.
161,kasalukuyang,"current, present",Ang kasalukuyang presidente ay magaling.,현재 대통령은 훌륭합니다.
162,Mayo,May (month),Ang kasal namin ay sa Mayo.,우리의 결혼식은 5월에 있습니다.
163,Isa,"one, a",Isa siyang mabuting tao.,그는 좋은 사람입니다.
164,lalaki,"man, male",Ang lalaki ay mabait.,그 남자는 친절합니다.
165,laban,"against, fight","Laban sa pandemya, kailangan nating magkaisa.",팬데믹과의 싸움에서 우리는 단결해야 합니다.
166,wikang,language (possessive),Ang wikang Filipino ay maganda.,필리핀어는 아름답습니다.
167,pamahalaan,government,Ang pamahalaan ay kailangang tumulong.,정부는 도와야 합니다.
168,2008,2008,"Noong 2008, nagtapos ako sa kolehiyo.",2008년에 나는 대학을 졸업했습니다.
169,pamilya,family,Ang pamilya ay mahalaga.,가족은 중요합니다.
170,grupo,group,Ang grupo nila ay masaya.,그들의 그룹은 즐겁습니다.
171,nina,(name marker),Ang libro ay kina Ana at Maria.,책은 애나와 마리아에게 있습니다.
172,ngayon,"now, today",Ngayon ay maganda ang panahon.,오늘은 날씨가 좋습니다.
173,halos,"almost, nearly",Halos lahat ay pumasa.,거의 모든 사람이 합격했습니다.
174,ginamit,"used, utilized",Ginamit niya ang computer.,그는 컴퓨터를 사용했습니다.
175,ding,"also, too",Maganda ding panoorin ang palabas.,그 쇼도 볼 만합니다.
176,banda,"band, group",Ang banda nila ay sikat.,그들의 밴드는 유명합니다.
177,pelikulang,"movie, film",Ang pelikulang ito ay maganda.,이 영화는 아름답습니다.
178,Mga,plural marker,Ang mga bata ay naglalaro.,아이들이 놀고 있습니다.
179,Hunyo,June,Ang klase ay magsisimula sa Hunyo.,수업은 6월에 시작됩니다.
180,2011,2011,Nagtapos ako noong 2011.,나는 2011년에 졸업했습니다.
181,sarili,"self, own",Ang sarili ay kailangang mahalin.,자기 자신을 사랑해야 합니다.
182,matapos,"after, finished","Matapos ang klase, umuwi kami.",수업이 끝난 후 우리는 집에 갔습니다.
183,kaya,"so, therefore",Kaya hindi ako pumunta.,그래서 나는 가지 않았습니다.
184,miyembro,member,Siya ay miyembro ng samahan.,그는 협회의 회원입니다.
185,matatagpuan,"can be found, located",Matatagpuan sa Luzon ang Maynila.,마닐라는 루손에서 찾을 수 있습니다.
186,batas,"law, rule",Ang batas ay dapat sundin.,법은 따라야 합니다.
187,maliit,"small, little",Maliit na bata si Carlo.,카를로는 작은 아이입니다.
188,buwan,"month, moon",Ang buwan ng Disyembre ay malamig.,12월은 추운 달입니다.
189,aklat,book,Ang aklat na ito ay kawili-wili.,이 책은 흥미롭습니다.
190,Setyembre,September,Mag-aaral ako sa Setyembre.,나는 9월에 공부를 시작할 것입니다.
191,Nang,when (past tense marker),"Nang dumating siya, kumain kami.",그가 도착했을 때 우리는 식사를 했습니다.
192,Abril,April,Ang pista ay sa Abril.,축제는 4월에 있습니다.
193,unibersidad,university,Siya ay nag-aaral sa unibersidad.,그는 대학교에서 공부하고 있습니다.
194,simula,"start, beginning",Ang simula ng klase ay sa Lunes.,수업 시작은 월요일입니다.
195,palabas,"show, movie, program",Ang palabas ay magsisimula na.,쇼가 곧 시작됩니다.
196,nagkaroon,"had, occurred",Nagkaroon ng party kahapon.,어제 파티가 있었습니다.
197,binubuo,"composed of, made up of",Ang barko ay binubuo ng mga kahoy.,배는 나무로 만들어져 있습니다.
198,Oktubre,October,Ang pista ay sa Oktubre.,축제는 10월에 있습니다.
199,papel,"paper, role",Ang papel na ito ay mahalaga.,이 종이는 중요합니다.
200,orihinal,original,Ang orihinal na kopya ay nawawala.,원본 사본이 없어졌습니다.
201,nitong,"this, recent","Nitong nakaraang taon, nagbago siya.",지난해 그는 변화했습니다.
202,kanta,song / to sing,Kumanta siya ng isang magandang kanta.,그녀는 아름다운 노래를 불렀습니다.
203,ginawa,did / made,Ginawa niya ang kanyang takdang-aralin.,그는 그의 숙제를 했습니다.
204,Enero,January,Ang kaarawan niya ay sa Enero.,그녀의 생일은 1월입니다.
205,Disyembre,December,Pumunta kami sa Pilipinas noong Disyembre.,우리는 12월에 필리핀에 갔습니다.
206,pagkain,food,Masarap ang pagkain sa Barrio Fiesta.,바리오 피에스타의 음식은 맛있습니다.
207,opisyal,official,Nagpulong ang mga opisyal ng gobyerno.,정부 관리들이 회의를 열었습니다.
208,mataas,high / tall,Mataas ang gusaling iyon.,그 건물은 높습니다.
209,ipinanganak,was born,Siya ay ipinanganak sa Maynila.,그는 마닐라에서 태어났습니다.
210,estado,state / condition,Mahusay ang estado ng ekonomiya.,경제 상태는 양호합니다.
211,bata,child / young,Malapit na ang paaralan ng aking bata.,내 아이의 개학이 곧 다가옵니다.
212,Agosto,August,Umuwi kami noong Agosto 2024.,우리는 2024년 8월에 귀국했습니다.
213,paaralan,school,Umattend kami ng paaralan araw-araw.,우리는 매일 학교에 다닙니다.
214,noon,then / at that time,Nasa bahay ako noon.,나는 그때 집에 있었다.
215,Gayunpaman,however / nonetheless,Gayunpaman,nagtagumpay siya.
216,subalit,but / however,Subalit,kailangan pa rin naming kumilos.
217,nagsimula,started,Nagsimula ang palabas nang alas otso.,쇼는 8시에 시작되었습니다.
218,Pagkatapos,after / afterwards,Pagkatapos ng klase,umuwi kami.
219,tubig,water,Uminom ako ng malamig na tubig.,나는 차가운 물을 마셨다.
220,pag-aaral,study / learning,Mahalaga ang pag-aaral sa buhay.,삶에서 공부는 중요하다.
221,lalawigan,province,Nakatira kami sa lalawigan ng Laguna.,우리는 라구나 주에 산다.
222,kasaysayan,history,Ang kasaysayan ng Pilipinas ay makulay.,필리핀의 역사는 다채롭다.
223,inilabas,was released / was taken out,Inilabas ang bagong pelikula ni Sarah.,새로운 사라의 영화가 개봉되었다.
224,artista,actor / actress / artist,Sikat na artista si John Lloyd Cruz.,존 로이드 크루즈는 유명한 배우입니다.
225,antas,level / degree,Mataas ang antas ng tubig sa ilog.,강의 수위가 높다.
226,Mayroon,there is / has,Mayroon akong ideya.,나는 아이디어가 있다.
227,Kung,if,Kung may oras ka,puntahan mo ako.
228,Pebrero,February,Ang aming anibersaryo ay sa Pebrero.,우리의 기념일은 2월입니다.
229,sakit,pain / illness / disease,May sakit ang aking ina.,나의 어머니께서는 병으로 고생하신다.
230,manlalaro,player / athlete,Mahusay na manlalaro si Lebron James.,르브론 제임스는 훌륭한 선수입니다.
231,anyo,form / appearance,Maganda ang anyo ng bagong kotse.,새 차의 외형은 아름답다.
232,madalas,often / frequently,Madalas kaming pumunta sa mall.,우리는 종종 쇼핑몰에 갑니다.
233,Maynila,Manila,Nakatira kami sa Maynila.,우리는 마닐라에 산다.
234,Hapon,Japan / Japanese,Pumunta kami sa Hapon noong pasko.,우리는 크리스마스에 일본에 갔다.
235,sanhi,cause / reason,Ano ang sanhi ng problema?,문제의 원인은 무엇입니까?
236,gaya,like / similar,Gaya ng inaasahan,nanalo siya.
237,gawa,work / deed / creation,Ang gawa ng kamay ay mas mahal.,손으로 만든 작품은 더 소중하다.
238,batang,child / young (adj.),Ang batang lalaki ay nag-aral ng mabuti.,어린 소년은 열심히 공부했다.
239,asawa,spouse / husband / wife,Ang asawa ko ay mabait.,나의 배우자는 친절하다.
240,pinakamalaking,biggest / largest,Ang pinakamalaking isda ay huli nila.,가장 큰 물고기를 그들이 잡았다.
241,milyong,million,Milyong tao ang dumalo sa rally.,수백만 명의 사람들이 집회에 참석했다.
242,lupa,land / ground / soil,Malawak ang lupang sakahan nila.,그들의 농지는 넓다.
243,itinatag,was established,Itinatag ang kumpanya noong 1990.,그 회사는 1990년에 설립되었다.
244,ikalawang,second,Siya ang ikalawang anak sa pamilya.,그는 가족에서 둘째 아이다.
245,dalawa,two,Dalawa ang anak namin.,우리는 자녀가 둘 있다.
246,paggawa,creation / making / production,Ang paggawa ng eroplano ay kumplikado.,비행기 제작은 복잡하다.
247,pagbabago,change / transformation,Ang pagbabago ay mahirap ngunit kailangan.,변화는 어렵지만 필요하다.
248,nilang,they did / they made,Nilang ito ng sama-sama.,그들은 함께 이것을 만들었다.
249,maaari,can / could / possible,Maaari bang tumigil ka muna?,잠시 멈출 수 있을까요?
250,kaso,case / however,Kaso,kailangan pa rin nating magbayad.
251,gamit,use / thing used,Gamit na gamit ko ang telepono ko.,나는 내 전화를 자주 사용한다.
252,bahay,house,Malaki ang bahay namin.,우리 집은 크다.
253,Ngunit,but,Ngunit,hindi ko alam ang sagot.
254,Hulyo,July,Aalis kami sa Hulyo.,우리는 7월에 떠난다.
255,namatay,died / passed away,Namatay ang kanyang lolo noong isang taon.,그의 할아버지께서는 작년에 돌아가셨다.
256,kaysa,than / compared to,Mas mataas siya kaysa sa akin.,그는 나보다 더 키가 크다.
257,anumang,whatever / any,Anumang problema,kaya natin yan.
258,ama,father,Ang ama ko ay nasa trabaho.,나의 아버지는 직장에 계신다.
259,Nobyembre,November,Nobyembre ang buwan ng Undas.,11월은 온다스의 달입니다.
260,sariling,own / personal,Gusto kong magkaroon ng sariling bahay.,나는 나만의 집을 갖고 싶다.
261,patuloy,continuous / ongoing,Patuloy ang pag-ulan buong araw.,비는 하루 종일 계속 내린다.
262,kabuuang,total / overall,Ang kabuuang halaga ay limang daan.,총 금액은 500이다.
263,dapat,should / must,Dapat tayong mag-aral ng mabuti.,우리는 열심히 공부해야 한다.
264,telebisyon,television,Nanonood kami ng telebisyon tuwing gabi.,우리는 매일 밤 TV를 시청한다.
265,simbahan,church / church building,Nagdasal kami sa simbahan.,우리는 교회에서 기도했다.
266,salita,word / speech,Mahaba ang kanyang talumpati at maraming salita.,그의 연설은 길고 많은 말을 담고 있다.
267,rehiyon,region / area,Isa ang Calabarzon sa mga rehiyon ng Pilipinas.,칼라바르존은 필리핀의 지역 중 하나이다.
268,pangalang,name / named,Ang pangalang ito ay pamilyar sa akin.,이 이름은 나에게 익숙하다.
269,linya,line / queue,Nasa linya kami para sa pagkain.,우리는 음식을 위해 줄을 섰다.
270,lang,just / only,Sandali lang ako.,나는 잠시만 있겠다.
271,halimbawa,example / for example,Halimbawa,pumunta kami sa Maynila.
272,pinuno,leader / head,Siya ang pinuno ng aming grupo.,그는 우리 그룹의 리더다.
273,gumawa,made / did,Gumawa kami ng proyekto para sa paaralan.,우리는 학교 프로젝트를 만들었다.
274,gumagamit,using / uses,Gumagamit siya ng kompyuter sa trabaho.,그는 직장에서 컴퓨터를 사용한다.
275,di,not / no,Di ko alam ang sagot.,나는 답을 모른다.
276,Tsina,China,Pumunta kami sa Tsina noong bakasyon.,우리는 방학 때 중국에 갔다.
277,New,New (English loanword),May bagong libro si Anna.,애나에게는 새 책이 있다.
278,video,video (English loanword),Nanood kami ng video sa YouTube.,우리는 유튜브에서 비디오를 봤다.
279,sumunod,followed / obeyed,Sumunod kami sa mga panuntunan.,우리는 규칙을 따랐다.
280,pati,including / also,Pati si Maria ay dumalo sa handaan.,마리아도 파티에 참석했다.
281,nagbibigay,gives / providing,Nagbibigay siya ng regalo sa kaarawan.,그는 생일에 선물을 준다.
282,ina,mother,Ang aking ina ay nasa bahay.,나의 어머니는 집에 계신다.
283,edad,age,Ilang taon na ang edad mo?,너는 몇 살이니?
284,2012,year 2012,Nag-olympics sa London noong 2012.,2012년 런던에서 올림픽이 열렸다.
285,naglalaman,contains / has,Naglalaman ito ng mahahalagang impormasyon.,이것은 중요한 정보를 포함하고 있다.
286,limang,five,Limang estudyante ang pumasa.,다섯 명의 학생이 합격했다.
287,kasapi,member / member of,Siya ay kasapi ng aming samahan.,그는 우리 조직의 회원이다.
288,kapangyarihan,power / authority,Ang kapangyarihan ay nasa kamay ng tao.,권력은 사람의 손에 달려있다.
289,batay,based on / according to,Batay sa aking obserbasyon,totoo ito.
290,University,University (English loanword),Nag-aral siya sa University of the Philippines.,그는 필리핀 대학교에서 공부했다.
291,partikular,particular / specific,May partikular siyang hilig sa musika.,그는 음악에 특별한 애정이 있다.
292,katangian,characteristic / quality,Ang katangian niya ay pagiging mabait.,그녀의 특징은 친절함이다.
293,muli,again / once more,Muli akong pupunta bukas.,나는 내일 다시 갈 것이다.
294,man,man (can be a person),Ang isang matapat na man ay kailangan.,정직한 사람이 필요하다.
295,halip,instead of,Halip na umalis,nanatili siya.
296,gamitin,to use,Gamitin mo ang utak mo.,너의 머리를 사용해라.
297,dahilan,reason / cause,Ano ang dahilan ng iyong pag-alis?,네가 떠난 이유는 무엇입니까?
298,Matapos,after / following,Matapos ang klase,umuwi kami.
299,Diyos,God,Ang Diyos ay mabuti.,하나님은 선하시다.
300,Amerika,America / USA,Pumunta kami sa Amerika noong pasko.,우리는 크리스마스에 미국에 갔다.
301,malawak,wide / vast,Malawak ang kanyang kaalaman.,그의 지식은 광범위하다.
302,lokal,local / locally,Ang produkto ay gawa sa lokal na materyales.,이 제품은 국내 재료로 만들어졌습니다.
303,digmaan,war,Nagkaroon ng digmaan noong 1940s.,1940년대에 전쟁이 있었다.
304,nagmula,came from / originated,Nagmula ang pera sa bangko.,돈은 은행에서 나왔다.
305,mahalagang,important / valuable,Mahalagang aralin ito para sa amin.,이것은 우리에게 중요한 교훈이다.
306,ilan,some / few,Ilan ang anak mo?,자녀가 몇 명이니?
307,dekada,decade,Isang dekada na ang lumipas.,십 년이 지났다.
308,Subalit,but / however,Subalit,kailangan pa ring magbayad.
309,Pilipino,Filipino / Philippine,Siya ay isang Pilipino.,그는 필리핀 사람이다.
310,Maraming,many / much,Maraming tao sa palengke.,시장에 사람이 많다.
311,Habang,while / during,Habang kumakain,nagkwentuhan kami.
312,wala,nothing / none,Wala akong pera.,나는 돈이 없다.
313,sentro,center / central,Nasa sentro ng lungsod ang mall.,쇼핑몰은 도시 중심에 있다.
314,hayop,animal,Malaki ang hayop sa zoo.,동물원의 동물은 크다.
315,gusali,building,Mataas ang gusaling iyon.,그 건물은 높다.
316,Mula,from / since,Mula pa noong bata,hilig na niya ang musika.
317,Kabilang,including / among,Kabilang siya sa mga estudyante.,그는 학생들 중 한 명이다.
318,umiiral,existing / exists,Umiiral pa rin ang lumang batas.,오래된 법은 여전히 존재한다.
319,trabaho,work / job,Ang trabaho niya ay mahirap.,그의 직업은 힘들다.
320,sistema,system / method,Epektibo ang bagong sistema.,새로운 시스템은 효과적이다.
321,magkaroon,to have / to possess,Gusto kong magkaroon ng bagong kotse.,나는 새 차를 갖고 싶다.
